species,region,map,method,time,qualification
SPECIES_ABRA,HOENN,MAP_GRANITE_CAVE_1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,HOENN,MAP_GRANITE_CAVE_B1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,HOENN,MAP_GRANITE_CAVE_B2F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,HOENN,MAP_GRANITE_CAVE_STEVENS_ROOM,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,HOENN,MAP_ROUTE116,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,JOHTO,MAP_ROUTE34_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,JOHTO,MAP_ROUTE34_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_ABRA,JOHTO,MAP_ROUTE35_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,JOHTO,MAP_ROUTE35_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_ABRA,KANTO,MAP_ROUTE24_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,KANTO,MAP_ROUTE24_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_ABRA,KANTO,MAP_ROUTE25_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ABRA,KANTO,MAP_ROUTE25_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_ABSOL,HOENN,MAP_ROUTE120,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,HNS_UNCLASSIFIED,MAP_AKALA_ISLE_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,HOENN,MAP_ALTERING_CAVE,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,HOENN,MAP_SAFARI_ZONE_NORTHEAST,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,HOENN,MAP_SAFARI_ZONE_SOUTHEAST,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_AZALEA_TOWN_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
