scenario,mode,clock,minimum_best_chance_exact,minimum_best_percent,maximum_required_detour_rank
cianwood_surf,modern,DAY,11/50,22.0,0
cianwood_surf,modern,NIGHT,11/50,22.0,0
cianwood_surf,legacy,DAY,183/550,33.272727,0
cianwood_surf,legacy,NIGHT,271/550,49.272727,0
olivine_surf,modern,DAY,11/50,22.0,0
olivine_surf,modern,NIGHT,1/5,20.0,0
olivine_surf,legacy,DAY,1/4,25.0,0
olivine_surf,legacy,NIGHT,3/10,30.0,0
vermilion_surf,modern,DAY,169/1100,15.363636,0
vermilion_surf,modern,NIGHT,13/100,13.0,0
vermilion_surf,legacy,DAY,167/550,30.363636,0
vermilion_surf,legacy,NIGHT,13/50,26.0,0
cinnabar_surf,modern,DAY,179/1100,16.272727,0
cinnabar_surf,modern,NIGHT,11/100,11.0,0
cinnabar_surf,legacy,DAY,29/100,29.0,0
cinnabar_surf,legacy,NIGHT,6/25,24.0,0
lilycove_surf,modern,DAY,2/25,8.0,1
lilycove_surf,modern,NIGHT,2/25,8.0,1
lilycove_surf,legacy,DAY,2/25,8.0,1
lilycove_surf,legacy,NIGHT,2/25,8.0,1
mossdeep_surf,modern,DAY,57/700,8.142857,0
mossdeep_surf,modern,NIGHT,57/700,8.142857,0
mossdeep_surf,legacy,DAY,3/20,15.0,0
mossdeep_surf,legacy,NIGHT,3/20,15.0,0
pacifidlog_surf,modern,DAY,57/700,8.142857,0
pacifidlog_surf,modern,NIGHT,57/700,8.142857,0
pacifidlog_surf,legacy,DAY,3/20,15.0,0
pacifidlog_surf,legacy,NIGHT,3/20,15.0,0
route118_west_surf,modern,DAY,1/10,10.0,1
route118_west_surf,modern,NIGHT,1/10,10.0,1
route118_west_surf,legacy,DAY,11/50,22.0,0
route118_west_surf,legacy,NIGHT,11/50,22.0,0
route118_east_surf,modern,DAY,2/25,8.0,0
route118_east_surf,modern,NIGHT,2/25,8.0,0
route118_east_surf,legacy,DAY,11/50,22.0,0
route118_east_surf,legacy,NIGHT,11/50,22.0,0
blackthorn_surf,modern,DAY,9/100,9.0,0
blackthorn_surf,modern,NIGHT,9/100,9.0,0
blackthorn_surf,legacy,DAY,9/100,9.0,0
blackthorn_surf,legacy,NIGHT,9/100,9.0,0
den_whirlpool,modern,DAY,19/100,19.0,0
den_whirlpool,modern,NIGHT,2/25,8.0,0
den_whirlpool,legacy,DAY,19/100,19.0,0
den_whirlpool,legacy,NIGHT,9/100,9.0,0
