species,move,mode,learn_levels,existing_native,catch_window,JOHTO_TR,KANTO_TR,HOENN_TR
SPECIES_ABRA,MOVE_FLASH,modern,15,False,15-100,9-80,12-80,14-80
SPECIES_ABRA,MOVE_FLASH,legacy,15,False,15-100,9-80,12-80,14-80
SPECIES_ABSOL,MOVE_CUT,modern,60,False,60-100,none,none,54-80
SPECIES_ABSOL,MOVE_CUT,legacy,60,False,60-100,none,none,54-80
SPECIES_AIPOM,MOVE_CUT,modern,25,False,25-38,6-42,19-42,11-38
SPECIES_AIPOM,MOVE_CUT,legacy,25,False,25-42,6-46,19-46,11-42
SPECIES_AIPOM,MOVE_ROCK_SMASH,modern,10,False,10-21,0-26,0-26,0-18
SPECIES_AIPOM,MOVE_ROCK_SMASH,legacy,10,False,10-24,0-31,0-31,0-22
SPECIES_ARON,MOVE_ROCK_SMASH,modern,7,False,7-18,none,none,0-24
SPECIES_ARON,MOVE_ROCK_SMASH,legacy,7,False,7-20,none,none,0-28
SPECIES_BALTOY,MOVE_FLASH,modern,35,False,35-45,none,none,"21-24, 34-44"
SPECIES_BALTOY,MOVE_FLASH,legacy,35,False,35-100,none,none,"21-24, 34-80"
SPECIES_BARBOACH,MOVE_DIVE,modern,20,False,20-31,none,none,1-37
SPECIES_BARBOACH,MOVE_DIVE,legacy,20,False,20-30,none,none,1-36
SPECIES_BARBOACH,MOVE_WATERFALL,modern,10,False,10-19,none,none,0-22
SPECIES_BARBOACH,MOVE_WATERFALL,legacy,10,False,10-20,none,none,0-24
SPECIES_BELLSPROUT,MOVE_CUT,modern,8,False,8-16,0-24,0-15,none
SPECIES_BELLSPROUT,MOVE_CUT,legacy,8,False,8-18,0-28,0-18,none
SPECIES_CACNEA,MOVE_CUT,modern,28,False,28-41,none,none,25-40
SPECIES_CACNEA,MOVE_CUT,legacy,28,False,28-40,none,none,25-39
SPECIES_CARVANHA,MOVE_SURF,modern,15,False,15-28,none,none,0-34
SPECIES_CARVANHA,MOVE_SURF,legacy,28,False,28-100,none,none,9-80
SPECIES_CHINCHOU,MOVE_SURF,modern,12,False,12-27,0-33,14-36,0-26
SPECIES_CHINCHOU,MOVE_SURF,legacy,5,False,5-24,0-31,0-33,0-20
SPECIES_CHINCHOU,MOVE_WHIRLPOOL,modern,5,False,5-11,0-10,0-13,0-1
SPECIES_CHINCHOU,MOVE_WHIRLPOOL,legacy,5,False,5-28,0-34,0-37,0-28
SPECIES_CLAMPERL,MOVE_DIVE,modern,20,False,20-100,none,none,5-80
SPECIES_CLAMPERL,MOVE_DIVE,legacy,20,False,20-100,none,none,5-80
SPECIES_CLAMPERL,MOVE_WHIRLPOOL,modern,1,True,1-100,none,none,0-80
SPECIES_CLAMPERL,MOVE_WHIRLPOOL,legacy,1,True,1-100,none,none,0-80
SPECIES_CLAYDOL,MOVE_FLASH,modern,55,False,55-100,none,none,43-80
SPECIES_CLAYDOL,MOVE_FLASH,legacy,55,False,55-100,none,none,43-80
SPECIES_CORPHISH,MOVE_CUT,modern,18,False,18-30,none,none,0-36
SPECIES_CORPHISH,MOVE_CUT,legacy,18,False,18-31,none,none,0-37
SPECIES_CORPHISH,MOVE_ROCK_SMASH,modern,40,False,40-100,none,none,23-80
SPECIES_CORPHISH,MOVE_ROCK_SMASH,legacy,40,False,40-100,none,none,23-80
SPECIES_CORSOLA,MOVE_WHIRLPOOL,modern,15,False,15-26,0-32,2-35,0-15
SPECIES_CORSOLA,MOVE_WHIRLPOOL,legacy,15,False,15-27,0-33,2-36,0-16
SPECIES_CRAWDAUNT,MOVE_CUT,modern,45,False,45-100,none,none,none
SPECIES_CRAWDAUNT,MOVE_CUT,legacy,45,False,45-100,none,none,none
SPECIES_DEWGONG,MOVE_DIVE,modern,45,True,45-64,39-57,none,none
SPECIES_DEWGONG,MOVE_DIVE,legacy,45,False,45-100,39-80,none,none
SPECIES_DONPHAN,MOVE_STRENGTH,modern,40,False,40-100,17-80,none,none
SPECIES_DONPHAN,MOVE_STRENGTH,legacy,40,False,40-100,17-80,none,none
SPECIES_DROWZEE,MOVE_FLASH,modern,35,False,35-48,31-49,38-50,none
SPECIES_DROWZEE,MOVE_FLASH,legacy,35,False,35-44,31-46,38-47,none
SPECIES_DUNSPARCE,MOVE_ROCK_SMASH,modern,20,False,20-27,31-37,"0-4, 12-30",none
SPECIES_DUNSPARCE,MOVE_ROCK_SMASH,legacy,20,False,20-31,31-41,"0-8, 12-33",none
SPECIES_ELECTRIKE,MOVE_FLASH,modern,12,False,12-23,none,none,0-28
SPECIES_ELECTRIKE,MOVE_FLASH,legacy,12,False,12-27,none,none,0-32
SPECIES_ELECTRODE,MOVE_FLASH,modern,55,False,55-100,none,29-80,50-80
SPECIES_ELECTRODE,MOVE_FLASH,legacy,55,False,55-100,none,29-80,50-80
SPECIES_FARFETCHD,MOVE_CUT,modern,32,False,32-44,16-42,none,none
SPECIES_FARFETCHD,MOVE_CUT,legacy,32,False,32-100,16-80,none,none
SPECIES_FLAAFFY,MOVE_FLASH,modern,20,False,20-37,12-36,none,none
SPECIES_FLAAFFY,MOVE_FLASH,legacy,20,False,20-100,12-80,none,none
SPECIES_FORRETRESS,MOVE_ROCK_SMASH,modern,45,False,45-59,33-47,none,none
SPECIES_FORRETRESS,MOVE_ROCK_SMASH,legacy,45,False,45-100,33-80,none,none
SPECIES_GEODUDE,MOVE_ROCK_SMASH,modern,5,False,5-11,0-16,0-13,0-13
SPECIES_GEODUDE,MOVE_ROCK_SMASH,legacy,5,False,5-15,0-24,0-20,0-20
SPECIES_GEODUDE,MOVE_STRENGTH,modern,12,False,12-23,0-34,0-32,0-32
SPECIES_GEODUDE,MOVE_STRENGTH,legacy,12,False,12-30,0-40,0-38,0-38
SPECIES_GIRAFARIG,MOVE_FLASH,modern,40,False,40-100,37-80,36-80,36-80
SPECIES_GIRAFARIG,MOVE_FLASH,legacy,40,False,40-100,37-80,36-80,36-80
SPECIES_GLIGAR,MOVE_CUT,modern,40,False,40-100,33-80,20-80,27-80
SPECIES_GLIGAR,MOVE_CUT,legacy,40,False,40-100,33-80,20-80,27-80
SPECIES_GLIGAR,MOVE_ROCK_SMASH,modern,20,False,20-34,7-35,0-18,3-21
SPECIES_GLIGAR,MOVE_ROCK_SMASH,legacy,20,False,20-43,7-42,0-32,3-33
SPECIES_GOLDEEN,MOVE_DIVE,modern,5,False,5-20,0-24,0-30,0-30
SPECIES_GOLDEEN,MOVE_DIVE,legacy,5,False,5-28,0-34,0-37,0-37
SPECIES_GOLDEEN,MOVE_WATERFALL,modern,32,True,32-100,"5-6, 16-80",23-80,16-80
SPECIES_GOLDEEN,MOVE_WATERFALL,legacy,38,True,38-100,23-80,35-80,29-80
SPECIES_GOLDUCK,MOVE_DIVE,modern,28,False,28-44,5-46,7-36,17-40
SPECIES_GOLDUCK,MOVE_DIVE,legacy,28,False,28-57,5-56,7-48,17-52
SPECIES_GOLDUCK,MOVE_SURF,modern,45,False,45-100,14-80,18-80,33-80
SPECIES_GOLDUCK,MOVE_SURF,legacy,45,False,45-100,14-80,18-80,33-80
SPECIES_GOREBYSS,MOVE_DIVE,modern,26,True,26-44,none,none,none
SPECIES_GOREBYSS,MOVE_DIVE,legacy,26,False,26-49,none,none,none
SPECIES_GOREBYSS,MOVE_WHIRLPOOL,modern,1,True,1-10,none,none,none
SPECIES_GOREBYSS,MOVE_WHIRLPOOL,legacy,1,True,1-25,none,none,none
SPECIES_GRAVELER,MOVE_STRENGTH,modern,45,False,45-100,16-80,18-80,33-80
SPECIES_GRAVELER,MOVE_STRENGTH,legacy,45,False,45-100,16-80,18-80,33-80
SPECIES_GYARADOS,MOVE_SURF,modern,55,False,55-100,43-80,45-80,40-80
SPECIES_GYARADOS,MOVE_SURF,legacy,39,False,39-54,25-56,31-54,21-57
SPECIES_GYARADOS,MOVE_WHIRLPOOL,modern,22,True,22-32,5-37,7-35,3-40
SPECIES_GYARADOS,MOVE_WHIRLPOOL,legacy,22,False,22-38,5-42,7-40,3-45
SPECIES_HARIYAMA,MOVE_ROCK_SMASH,modern,55,False,55-100,none,none,42-80
SPECIES_HARIYAMA,MOVE_ROCK_SMASH,legacy,55,False,55-100,none,none,42-80
SPECIES_HARIYAMA,MOVE_STRENGTH,modern,30,False,30-45,none,none,12-34
SPECIES_HARIYAMA,MOVE_STRENGTH,legacy,30,False,30-50,none,none,12-39
SPECIES_HERACROSS,MOVE_ROCK_SMASH,modern,35,False,35-100,19-80,none,31-80
SPECIES_HERACROSS,MOVE_ROCK_SMASH,legacy,35,False,35-100,19-80,none,31-80
SPECIES_HORSEA,MOVE_SURF,modern,31,False,31-51,14-54,17-55,22-47
SPECIES_HORSEA,MOVE_SURF,legacy,34,False,34-100,18-80,23-80,27-80
SPECIES_HORSEA,MOVE_WATERFALL,modern,18,False,18-30,1-36,3-38,5-26
SPECIES_HORSEA,MOVE_WATERFALL,legacy,18,False,18-35,1-40,3-42,5-32
SPECIES_HUNTAIL,MOVE_DIVE,modern,26,True,26-44,none,none,none
SPECIES_HUNTAIL,MOVE_DIVE,legacy,26,False,26-49,none,none,none
SPECIES_HUNTAIL,MOVE_WHIRLPOOL,modern,1,True,1-10,none,none,none
SPECIES_HUNTAIL,MOVE_WHIRLPOOL,legacy,1,True,1-25,none,none,none
SPECIES_ILLUMISE,MOVE_FLASH,modern,25,False,25-35,none,none,29-38
SPECIES_ILLUMISE,MOVE_FLASH,legacy,25,False,25-100,none,none,29-80
SPECIES_KADABRA,MOVE_FLASH,modern,45,False,45-100,none,14-80,none
SPECIES_KADABRA,MOVE_FLASH,legacy,45,False,45-100,none,14-80,none
SPECIES_KECLEON,MOVE_CUT,modern,40,False,40-100,none,none,37-80
SPECIES_KECLEON,MOVE_CUT,legacy,40,False,40-100,none,none,37-80
SPECIES_KINGLER,MOVE_SURF,modern,40,False,40-62,27-58,32-56,none
SPECIES_KINGLER,MOVE_SURF,legacy,40,False,40-100,27-80,32-80,none
SPECIES_KIRLIA,MOVE_FLASH,modern,25,False,25-36,none,none,none
SPECIES_KIRLIA,MOVE_FLASH,legacy,25,False,25-46,none,none,none
SPECIES_KRABBY,MOVE_SURF,modern,11,False,11-24,0-31,0-33,none
SPECIES_KRABBY,MOVE_SURF,legacy,5,False,5-26,0-32,0-35,none
SPECIES_LAIRON,MOVE_ROCK_SMASH,modern,30,False,30-42,none,none,14-31
SPECIES_LAIRON,MOVE_ROCK_SMASH,legacy,30,False,30-100,none,none,14-80
SPECIES_LANTURN,MOVE_SURF,modern,51,False,51-100,38-80,none,none
SPECIES_LANTURN,MOVE_SURF,legacy,40,False,40-60,27-59,none,none
SPECIES_LANTURN,MOVE_WHIRLPOOL,modern,55,False,55-100,43-80,none,none
SPECIES_LANTURN,MOVE_WHIRLPOOL,legacy,55,False,55-100,43-80,none,none
SPECIES_LARVITAR,MOVE_ROCK_SMASH,modern,25,False,25-40,0-48,7-28,none
SPECIES_LARVITAR,MOVE_ROCK_SMASH,legacy,25,False,25-49,0-55,7-37,none
SPECIES_LEDYBA,MOVE_FLASH,modern,9,False,9-14,0-20,none,none
SPECIES_LEDYBA,MOVE_FLASH,legacy,9,False,9-21,0-32,none,0-8
SPECIES_LINOONE,MOVE_CUT,modern,25,False,25-39,none,none,16-36
SPECIES_LINOONE,MOVE_CUT,legacy,25,False,25-46,none,none,16-42
SPECIES_LOMBRE,MOVE_SURF,modern,22,False,22-35,none,none,19-37
SPECIES_LOMBRE,MOVE_SURF,legacy,22,False,22-39,none,none,19-41
SPECIES_LOMBRE,MOVE_WATERFALL,modern,40,False,40-100,none,none,40-80
SPECIES_LOMBRE,MOVE_WATERFALL,legacy,40,False,40-100,none,none,40-80
SPECIES_LOTAD,MOVE_SURF,modern,3,False,3-14,none,none,0-20
SPECIES_LOTAD,MOVE_SURF,legacy,3,False,3-30,none,none,0-39
SPECIES_LOUDRED,MOVE_STRENGTH,modern,25,False,25-40,none,none,7-30
SPECIES_LOUDRED,MOVE_STRENGTH,legacy,25,False,25-50,none,none,7-39
SPECIES_LUVDISC,MOVE_WATERFALL,modern,45,False,45-100,none,none,36-80
SPECIES_LUVDISC,MOVE_WATERFALL,legacy,45,False,45-100,none,none,36-80
