table_slot	layout_id	layout_name	version	width	height	logical_bytes	padded_grid_tiles	padded_grid_bytes	source	source_path	source_sha256	source_crc32	raw_file_bytes	trailing_bytes	lz_stream_bytes	lz_stream_sha256	lz_stream_crc32	lz_decode_consumed_bytes	lz_padding_bytes	storage	stored_bytes	aligned_storage_bytes	interrecord_alignment_bytes	compressed_stream_artifact	special_raw_exception_candidate
1	LAYOUT_PETALBURG_CITY	PetalburgCity_Layout	emerald	30	30	1800	1980	3960	data/layouts/PetalburgCity/map.bin	data/layouts/PetalburgCity/map.bin	7650c43cd3a8a235c102e647f3937fd42c75cdb14fd264b3bc46b85f2385d3fd	6fd4a3b5	1800	0	692	3247865db01e571e41aef130ab19a0c29bc347656b4a6931da69a77782152cb4	bc7eb752	690	2	gba_lz77	692	692	0	streams/0001-LAYOUT_PETALBURG_CITY.lz	
2	LAYOUT_SLATEPORT_CITY	SlateportCity_Layout	emerald	40	60	4800	4070	8140	data/layouts/SlateportCity/map.bin	data/layouts/SlateportCity/map.bin	7094d5feff9cdd39816b71b7aaa31cf9c099c0d06f0a85e9b048d3a801cec136	2a1db70a	4800	0	1888	8781b7343abc9f143ad3cddf0fc458b39f291efc95f99c198474e54257065118	41d86083	1885	3	gba_lz77	1888	1888	0	streams/0002-LAYOUT_SLATEPORT_CITY.lz	
3	LAYOUT_MAUVILLE_CITY	MauvilleCity_Layout	emerald	40	20	1600	1870	3740	data/layouts/MauvilleCity/map.bin	data/layouts/MauvilleCity/map.bin	ec1e2a33d33024c4b029b11ca991bfeee25647e860209a0d9fb65ab3a7db8b68	179b0b36	1600	0	696	3974386d50204bea262975fd7ff21f4a000b9a7b3357f8c1860b5b12d162e352	e7810bc5	696	0	gba_lz77	696	696	0	streams/0003-LAYOUT_MAUVILLE_CITY.lz	
4	LAYOUT_RUSTBORO_CITY	RustboroCity_Layout	emerald	40	60	4800	4070	8140	data/layouts/RustboroCity/map.bin	data/layouts/RustboroCity/map.bin	5d1838e9e5c8f8a3bd519b0f7adaf1f01ef556deb9f8d5b46ec5996b26d51c4d	83321d39	4800	0	1616	2ae1c3a49a9b8642cb1a6003de27b6b54e3a88bec0e7d252afaddc8f28ecb789	572da1b4	1616	0	gba_lz77	1616	1616	0	streams/0004-LAYOUT_RUSTBORO_CITY.lz	
5	LAYOUT_FORTREE_CITY	FortreeCity_Layout	emerald	40	20	1600	1870	3740	data/layouts/FortreeCity/map.bin	data/layouts/FortreeCity/map.bin	af2689cf610f5dcc6d1c2967a093d199d9a77b722cd0f8a677b9bc1299a9da94	6411bae5	1600	0	656	27f97a8ecac9b7fd094bee72be31cde49807b4d5453e9fc49b9d14ff314dce6a	a50f7ef9	653	3	gba_lz77	656	656	0	streams/0005-LAYOUT_FORTREE_CITY.lz	
6	LAYOUT_LILYCOVE_CITY	LilycoveCity_Layout	emerald	80	40	6400	5130	10260	data/layouts/LilycoveCity/map.bin	data/layouts/LilycoveCity/map.bin	39f4fd5da845b8cd987a28f0e7df5938c7eeb08db118e171d521102b6c0c3f62	10bf194f	6400	0	2280	32988552e66072d266ac50c71e71e6b65cec56a7d28561965d21f1b0910512e8	a3378c46	2277	3	gba_lz77	2280	2280	0	streams/0006-LAYOUT_LILYCOVE_CITY.lz	
7	LAYOUT_MOSSDEEP_CITY	MossdeepCity_Layout	emerald	80	40	6400	5130	10260	data/layouts/MossdeepCity/map.bin	data/layouts/MossdeepCity/map.bin	88f9f45d569efcd7a5323b64172a223c252082f7d550fce64d3f125a7505f185	f3f449cc	6400	0	2380	a9bd9213eb975785d7fc0e8d0a8090e4e1f41df7c6e5db90c84b1211cd0340a9	be05f11f	2378	2	gba_lz77	2380	2380	0	streams/0007-LAYOUT_MOSSDEEP_CITY.lz	
8	LAYOUT_SOOTOPOLIS_CITY	SootopolisCity_Layout	emerald	60	60	7200	5550	11100	data/layouts/SootopolisCity/map.bin	data/layouts/SootopolisCity/map.bin	620c9c896617640b73595ea98d32d68b8eb0e850ea681c7b2f51f30b8f43fe49	7863911f	7200	0	2140	ddb31924a2fc7d3f2b85f0f4065f8b90a86f21fd18a31723659cf0f53c64c5af	df057f90	2140	0	gba_lz77	2140	2140	0	streams/0008-LAYOUT_SOOTOPOLIS_CITY.lz	
9	LAYOUT_EVER_GRANDE_CITY	EverGrandeCity_Layout	emerald	40	80	6400	5170	10340	data/layouts/EverGrandeCity/map.bin	data/layouts/EverGrandeCity/map.bin	65fe6682e18c1befab20f007b86811bc5cde2346ded25dd908cc15757ce17d1c	6582d7fc	6400	0	2380	8560969bef48dd3d9ed8d54131b7842df35343b1472ec51d18156525c2bbfc26	1010c142	2378	2	gba_lz77	2380	2380	0	streams/0009-LAYOUT_EVER_GRANDE_CITY.lz	
10	LAYOUT_LITTLEROOT_TOWN	LittlerootTown_Layout	emerald	20	20	800	1190	2380	data/layouts/LittlerootTown/map.bin	data/layouts/LittlerootTown/map.bin	9bc2d52ac0f515a2af3a12483e3913aee3948531f91ca0547513f53ce92acf9d	8c25cce1	800	0	296	21ad6ac2eaaab85db0c54a75aae9ce62aa6496d2109d5a894dfe121f70887ffe	64de57d7	296	0	gba_lz77	296	296	0	streams/0010-LAYOUT_LITTLEROOT_TOWN.lz	
