case,mode,sample,cycles
0,0,0,145233
0,1,0,760776
0,2,0,1061189
0,0,1,145233
0,1,1,760776
0,2,1,1061189
0,0,2,145233
0,1,2,760776
0,2,2,1061189
0,0,3,145233
0,1,3,760776
0,2,3,1061189
0,0,4,145233
0,1,4,760776
0,2,4,1061189
0,0,5,145233
0,1,5,760776
0,2,5,1061189
0,0,6,145233
0,1,6,760776
0,2,6,1061189
0,0,7,145233
0,1,7,760776
0,2,7,1061189
0,0,8,145233
0,1,8,760776
0,2,8,1061189
0,0,9,145233
0,1,9,760776
0,2,9,1061189
0,0,10,145233
0,1,10,760776
0,2,10,1061189
0,0,11,145233
0,1,11,760776
0,2,11,1061189
0,0,12,145233
0,1,12,760776
0,2,12,1061189
0,0,13,145233
0,1,13,760776
0,2,13,1061189
0,0,14,145233
0,1,14,760776
0,2,14,1061189
0,0,15,145233
0,1,15,760776
0,2,15,1061189
0,0,16,145233
0,1,16,760776
0,2,16,1061189
0,0,17,145233
0,1,17,760776
0,2,17,1061189
0,0,18,145233
0,1,18,760776
0,2,18,1061189
0,0,19,145233
0,1,19,760776
0,2,19,1061189
0,0,20,145233
0,1,20,760776
0,2,20,1061189
0,0,21,145233
0,1,21,760776
0,2,21,1061189
0,0,22,145233
0,1,22,760776
0,2,22,1061189
0,0,23,145233
0,1,23,760776
0,2,23,1061189
0,0,24,145233
0,1,24,760776
0,2,24,1061189
0,0,25,145233
0,1,25,760776
0,2,25,1061189
0,0,26,145233
0,1,26,760776
0,2,26,1061189
0,0,27,145233
0,1,27,760776
0,2,27,1061189
0,0,28,145233
0,1,28,760776
0,2,28,1061189
0,0,29,145233
0,1,29,760776
0,2,29,1061189
0,0,30,145233
0,1,30,760776
0,2,30,1061189
0,0,31,145233
0,1,31,760776
0,2,31,1061189
0,0,32,145233
0,1,32,760776
0,2,32,1061189
0,0,33,145233
0,1,33,760776
0,2,33,1061189
0,0,34,145233
0,1,34,760776
0,2,34,1061189
0,0,35,145233
0,1,35,760776
0,2,35,1061189
0,0,36,145233
0,1,36,760776
0,2,36,1061189
0,0,37,145233
0,1,37,760776
0,2,37,1061189
0,0,38,145233
0,1,38,760776
0,2,38,1061189
0,0,39,145233
0,1,39,760776
0,2,39,1061189
0,0,40,145233
0,1,40,760776
0,2,40,1061189
0,0,41,145233
0,1,41,760776
0,2,41,1061189
0,0,42,145233
0,1,42,760776
0,2,42,1061189
0,0,43,145233
0,1,43,760776
0,2,43,1061189
0,0,44,145233
0,1,44,760776
0,2,44,1061189
0,0,45,145233
0,1,45,760776
0,2,45,1061189
0,0,46,145233
0,1,46,760776
0,2,46,1061189
0,0,47,145233
0,1,47,760776
0,2,47,1061189
0,0,48,145233
0,1,48,760776
0,2,48,1061189
0,0,49,145233
0,1,49,760776
0,2,49,1061189
0,0,50,145233
0,1,50,760776
0,2,50,1061189
0,0,51,145233
0,1,51,760776
0,2,51,1061189
0,0,52,145233
0,1,52,760776
0,2,52,1061189
0,0,53,145233
0,1,53,760776
0,2,53,1061189
0,0,54,145233
0,1,54,760776
0,2,54,1061189
0,0,55,145233
0,1,55,760776
0,2,55,1061189
0,0,56,145233
0,1,56,760776
0,2,56,1061189
0,0,57,145233
0,1,57,760776
0,2,57,1061189
0,0,58,145233
0,1,58,760776
0,2,58,1061189
0,0,59,145233
0,1,59,760776
0,2,59,1061189
0,0,60,145233
0,1,60,760776
0,2,60,1061189
0,0,61,145233
0,1,61,760776
0,2,61,1061189
0,0,62,145233
0,1,62,760776
0,2,62,1061189
0,0,63,145233
0,1,63,760776
0,2,63,1061189
0,0,64,145233
0,1,64,760776
0,2,64,1061189
0,0,65,145233
0,1,65,760776
0,2,65,1061189
0,0,66,145233
0,1,66,760776
0,2,66,1061189
0,0,67,145233
0,1,67,760776
0,2,67,1061189
0,0,68,145233
0,1,68,760776
0,2,68,1061189
0,0,69,145233
0,1,69,760776
0,2,69,1061189
0,0,70,145233
0,1,70,760776
0,2,70,1061189
0,0,71,145233
0,1,71,760776
0,2,71,1061189
0,0,72,145233
0,1,72,760776
0,2,72,1061189
0,0,73,145233
0,1,73,760776
0,2,73,1061189
0,0,74,145233
0,1,74,760776
0,2,74,1061189
0,0,75,145233
0,1,75,760776
0,2,75,1061189
0,0,76,145233
0,1,76,760776
0,2,76,1061189
0,0,77,145233
0,1,77,760776
0,2,77,1061189
0,0,78,145233
0,1,78,760776
0,2,78,1061189
0,0,79,145233
0,1,79,760776
0,2,79,1061189
0,0,80,145233
0,1,80,760776
0,2,80,1061189
0,0,81,145233
0,1,81,760776
0,2,81,1061189
0,0,82,145233
0,1,82,760776
0,2,82,1061189
0,0,83,145233
0,1,83,760776
0,2,83,1061189
0,0,84,145233
0,1,84,760776
0,2,84,1061189
0,0,85,145233
0,1,85,760776
0,2,85,1061189
0,0,86,145233
0,1,86,760776
0,2,86,1061189
0,0,87,145233
0,1,87,760776
0,2,87,1061189
0,0,88,145233
0,1,88,760776
0,2,88,1061189
0,0,89,145233
0,1,89,760776
0,2,89,1061189
0,0,90,145233
0,1,90,760776
0,2,90,1061189
0,0,91,145233
0,1,91,760776
0,2,91,1061189
0,0,92,145233
0,1,92,760776
0,2,92,1061189
0,0,93,145233
0,1,93,760776
0,2,93,1061189
0,0,94,145233
0,1,94,760776
0,2,94,1061189
0,0,95,145233
0,1,95,760776
0,2,95,1061189
0,0,96,145233
0,1,96,760776
0,2,96,1061189
0,0,97,145233
0,1,97,760776
0,2,97,1061189
0,0,98,145233
0,1,98,760776
0,2,98,1061189
0,0,99,145233
0,1,99,760776
0,2,99,1061189
1,0,0,151871
1,1,0,915488
1,2,0,1300491
1,0,1,151871
1,1,1,915488
1,2,1,1300491
1,0,2,151871
1,1,2,915488
1,2,2,1300491
1,0,3,151871
1,1,3,915488
1,2,3,1300491
1,0,4,151871
1,1,4,915488
1,2,4,1300491
1,0,5,151871
1,1,5,915488
1,2,5,1300491
1,0,6,151871
1,1,6,915488
1,2,6,1300491
1,0,7,151871
1,1,7,915488
1,2,7,1300491
1,0,8,151871
1,1,8,915488
1,2,8,1300491
1,0,9,151871
1,1,9,915488
1,2,9,1300491
1,0,10,151871
1,1,10,915488
1,2,10,1300491
1,0,11,151871
1,1,11,915488
1,2,11,1300491
1,0,12,151871
1,1,12,915488
1,2,12,1300491
1,0,13,151871
1,1,13,915488
